District,year    ,  percipitation ,min_temp,cloud_cover  ,  vapour_pressure , area    ,Production
Dharward,1990,687.852,24.644,47.296,20.881,85132,158203
Dharward,1991,999.029,24.745,47.264,21.061,92126,216648
Dharward,1992,833.158,24.572,47.264,20.764,87069,190062
Dharward,1993,907.47,24.657,47.264,20.869,88881,233125
Dharward,1994,607.299,24.594,47.264,20.866,94379,279101
Dharward,1995,953.881,24.912,47.264,21.194,124799,516395
Dharward,1996,1074.976,24.839,49.347,21.012,134979,509823
Dharward,1997,1058.408,25.094,48.591,21.111,136979,410243
Dharward,1998,1198.163,25.389,48.729,21.445,124980,465402
Dharward,1999,912.056,24.758,47.139,20.799,144970,520978
Dharward,2000,1001.418,24.722,48.221,20.957,114977,430142
Dharward,2001,720.585,25.119,51.276,21.178,124000,472013
Dharward,2002,733.003,25.228,47.62,21.241,140213,534214
Gadag,1990,907.882,25.112,40.173,21.003,763,375
Gadag,1991,1295.906,25.486,40.045,21.239,784,513
Gadag,1992,1437.299,25.373,40.045,21.061,697,538
Gadag,1993,1189.518,25.286,40.045,21.144,756,506
Gadag,1994,1386.317,25.144,40.045,21.064,690,604
Gadag,1995,1082.616,25.754,40.0148,21.284,694,460
Gadag,1996,1209.253,25.67,40.277,21.407,838,1232
Gadag,1997,1256.84,25.644,39.257,21.202,957,1456
Gadag,1998,1247.022,25.884,39.914,21.755,854,1065
Gadag,1999,1111.59,25.361,41.341,21.069,652,754
Gadag,2000,1243.124,25.357,39.719,20.99,567,648
Gadag,2001,836.128,25.627,41.506,21.286,505,632
Gadag,2002,925.145,25.875,39.656,21.339,624,701
Gulbarga,1990,714.785,26.963,37.15,18.104,11395,7689
Gulbarga,1991,681.617,27.588,36.704,18.571,11315,9841
Gulbarga,1992,672.209,27.462,36.704,18.42,11072,10577
Gulbarga,1993,639.907,27.477,36.704,18.411,10906,6430
Gulbarga,1994,772.788,27.314,36.704,18.43,11283,11218
Gulbarga,1995,886.468,27.562,36.624,18.59,10916,7207
Gulbarga,1996,798.539,27.77,36.582,18.694,11071,18383
Gulbarga,1997,657.689,2.697,36.326,18.474,10256,8596
Gulbarga,1998,757.61,28.12,35.885,19.102,11544,9654
Gulbarga,1999,568.029,27.404,36.13,18.392,14365,12654
Gulbarga,2000,733.168,27.424,35.153,18.406,10236,10245
Gulbarga,2001,601.898,27.766,37.866,18.593,12463,11698
Gulbarga,2002,525.402,27.851,35.109,18.662,10487,7895
Hassan,1990           1925.097          24.763              46.787           23.713         12059                7836,,,,,,
Hassan,1991            2881.53              24.87           46.781           23.857         11960                8889,,,,,,
Hassan,1992           3279.838          24.716              46.781           23.605         11947                9865,,,,,,
Hassan,1993           2633.146          24.798              46.781           23.689         11733                7086,,,,,,
Hassan,1994           2755.089              24.71           46.781           23.633         11619                8465,,,,,,
Hassan,1995           2563.236          25.033               46.81           23.962         11468            10080,,,,,,
Hassan,1996            3120.57          24.997              48.331           23.925         11464            15990,,,,,,
Hassan,1997           2976.928          25.226              46.843           23.858         11458                9658,,,,,,
Hassan,1998           3663.805          25.404               7.906           24.185         12548            15687,,,,,,
Hassan,1999           2447.383          240871             470509            23.583         10359                8976,,,,,,
Hassan,2000           2692.923          24.806              47.582            23.67         12579            16987,,,,,,
Hassan,2001           2213.051              25.15           49.857           23.903         13658            14263,,,,,,
Hassan,2002           2200.349          25.348               47.12           24.008         10487                7586,,,,,,
Haveri,1990           1231.674          25.149              41.942           22.872         10519                4487,,,,,,
Haveri,1991           2013.961          25.306              41.892            23.06         10375                5805,,,,,,
Haveri,1992           2310.987          25.314              41.892           22.861         10347                6239,,,,,,
Haveri,1993           1913.379          25.206              41.892           22.936         10260                5403,,,,,,
Haveri,1994            2090.93          25.075              41.892            22.54          9894                8278,,,,,,
Haveri,1995           1570.888              25.58           41.891           22.123          9761                4431,,,,,,
Haveri,1996           1950.578          25.527              41.968           23.207          9253            13044,,,,,,
Haveri,1997           2005.748          25.596              40.536           23.026         10258                7586,,,,,,
Haveri,1998           2184.974              25.76           41.697           23.546          9354                5487,,,,,,
Haveri,1999           1761.816          25.296              42.842            22.83          8459                4598,,,,,,
Haveri,2000           1873.395          25.273                41.5           22.819          8974                4958,,,,,,
Haveri,2001           1244.919          25.557               43.27           23.059         10254                9658,,,,,,
Haveri,2002           1473.343          25.817              41.292           23.168         10659                9865,,,,,,
Kodagu,1990           1552.074          24.888              45.047           23.678         18297            11360,,,,,,
Kodagu,1991            1969.16          25.033              45.067           23.768         18072            16426,,,,,,
Kodagu,1992           2370.413          24.833              45.067           23.574         18470            16896,,,,,,
Kodagu,1993           1821.169          24.915              45.067           23.641         18142            16263,,,,,,
Kodagu,1994           2163.605          24.883              45.067           23.608         18199            21410,,,,,,
Kodagu,1995            1779.08          25.184              45.067           23.845         18121            11652,,,,,,
Kodagu,1996           2095.967          25.119              47.417           23.847         18225            43159,,,,,,
Kodagu,1997           2304.719              25.29           45.787           23.843         18546            35494,,,,,,
Kodagu,1998           2465.775              25424           46.783           24.094         18597            29548,,,,,,
Kodagu,1999           1734.817          25.007              46.437           23.603         18364            18549,,,,,,
Kodagu,2000           1773.902          24.919               46.58           23.648         18756            15498,,,,,,
Kodagu,2001           1686.078               25.2           48.689           23.811         17965            14875,,,,,,
Kodagu,2002           1691.933          25.426              46.353           23.975         17856            15362,,,,,,
Kolar,1990            773.077          24.909              46.684           20.172         2828                2474,,,,,,
Kolar,1991            943.988          25.066              46.605           20.397         3031                3508,,,,,,
Kolar,1992            769.912          24.918              46.605           20.154         2851                3280,,,,,,
Kolar,1993            937.971          24.947              46.605           20.253         2756                2774,,,,,,
Kolar,1994            657.401          24.934              46.605           20.319         2682                3800,,,,,,
Kolar,1995           1028.667              25.17           46.605           20.522         2803                3831,,,,,,
Kolar,1996           1126.705          25.067              48.422           20.358         2590                5845,,,,,,
Kolar,1997           1046.854          25.308              48.002           20.499         2645                4478,,,,,,
Kolar,1998            1164.13          25.691               47.91           20.839         2368                3930,,,,,,
Kolar,1999            864.103          24.999              46.105           20.189         2265                3820,,,,,,
Kolar,2000            1008.54              24.98           47.337           20.313         3275                4756,,,,,,
Kolar,2001            751.471          25.391              50.495            20.61         2836                2965,,,,,,
Kolar,2002            724.545          25.464              47.029            20.63         2278                2759,,,,,,
Koppal,1990            773.077          46.684              39.397           19.573         2828                2474,,,,,,
Koppal,1991            943.988          46.605              39.221             19.9         3031                3508,,,,,,
Koppal,1992            769.912          46.605              39.221            19.69         2851                3280,,,,,,
Koppal,1993            937.971          46.605              39.221           19.733         2756                2774,,,,,,
Koppal,1994            657.401          46.605              39.221             19.7         2682                3800,,,,,,
Koppal,1995           1028.667          46.605               39.19           19.947         2803                3831,,,,,,
Koppal,1996           1126.705          48.422               39.38           20.014         2590                5845,,,,,,
Koppal,1997           1046.854          48.002              38.547           19.794         2354                3876,,,,,,
Koppal,1998            1164.13              47.91           38.727           20.429         2987                4478,,,,,,
Koppal,1999            864.103          46.105              39.471           19.692         3015                4687,,,,,,
Koppal,2000            1008.54          47.337              38.541           19.696         2465                2365,,,,,,
Koppal,2001            751.471          50.495              40.568           19.988         2795                3654,,,,,,
Koppal,2002            724.545          47.029              38.267           19.992         3084                3952,,,,,,
,,,,,,,
Mandya,1990           1265.303      24.00608333          48.67441667          21.90233333        45630            40112,,,,,,
Mandya,1991           1939.041      24.07316667          48.66616667               22.042        14597            18945,,,,,,
Mandya,1992            2071.85      23.83941667          48.66616667          21.76458333        14335            16326,,,,,,
Mandya,1993           1780.277      23.98816667          48.66616667          21.86391667        14349            13304,,,,,,
Mandya,1994            1487.06              23.941       48.66616667              21.8025        15082            27839,,,,,,
Mandya,1995           1825.576      24.21891667          48.66616667             22.17575        10828                9175,,,,,,
Mandya,1996           2173.919              24.197       50.81258333              22.0615         7922            20545,,,,,,
Mandya,1997           1910.566      24.45533333             49.92375             22.08425        15364            28649,,,,,,
Mandya,1998           2647.501      24.66208333          50.49733333          22.41341667        14359            27698,,,,,,
Mandya,1999           1707.186      24.08933333             49.27675          21.77208333        12549            24687,,,,,,
Mandya,2000           1941.924         24.04725                    50.1       21.90108333        13457            26598,,,,,,
Mandya,2001           1451.536      24.40533333          52.87866667          22.10916667        10894            18649,,,,,,
Mandya,2002           1477.249              24.567          49.54775               22.234        11349            18957,,,,,,
Mysore,1990           1990.784      25.21316667       49.16783333       24.30733333        3382                3896,,,,,,
Mysore,1991           2764.749         25.30575          49.17175       24.40158333        3108                4119,,,,,,
Mysore,1992           3132.967      25.07016667          49.17175       24.15208333        3266                4431,,,,,,
Mysore,1993           2493.423         25.19875          49.17175       24.24283333        3803                4582,,,,,,
Mysore,1994           2509.262      25.16641667          49.17175            24.172        3353                5145,,,,,,
Mysore,1995           2542.588          25.4635          49.17175           24.5215        3686                4046,,,,,,
Mysore,1996           3007.996          25.4195       51.82283333       24.46233333        3553                5464,,,,,,
Mysore,1997           2884.676      25.63808333       50.53508333       24.48316667        3149                4201,,,,,,
Mysore,1999           2380.598      25.30458333       50.21566667          24.18125        3258                4006,,,,,,
Mysore,2000           2551.345      25.25366667       50.95991667       24.27433333        3389                4597,,,,,,
Mysore,2001           2187.089      25.57858333       53.60616667            24.457        3649                5100,,,,,,
Mysore,2002           2242.378      25.76766667       50.57941667       24.64266667        3462                4539,,,,,,
Raichur,1990            566.256         26.51425       37.71058333          18.41275        5348                5804,,,,,,
Raichur,1991            597.893      27.08216667           37.4075       18.84933333        5259                7119,,,,,,
Raichur,1992            618.442      26.98041667           37.4075          18.62475        4524                6360,,,,,,
Raichur,1993            565.709      27.02558333           37.4075          18.63425        4663                5908,,,,,,
Raichur,1994              629.2         26.90925           37.4075       18.68183333        3992                6826,,,,,,
Raichur,1995            752.252      27.22408333       37.34716667       18.86358333        3505                4522,,,,,,
Raichur,1996            673.273      27.21933333           37.2695       18.89408333        3567                7981,,,,,,
Raichur,1997            593.673      27.27908333       36.88033333       18.71716667        4468                6203,,,,,,
Raichur,1998            638.478      27.67608333       36.41666667       19.38716667        4798                6534,,,,,,
Raichur,1999            509.043         26.97225          36.62825            18.639        3976                5816,,,,,,
Raichur,2000            625.811      26.97216667       35.96941667          18.68775        4965                6918,,,,,,
Raichur,2001            482.044      27.33458333          38.58075       18.93458333        5236                7221,,,,,,
Raichur,2002            450.113      27.42241667       35.76258333       18.93741667        4586                6145,,,,,,
Banglore Rural,1990,687.852,24.644,47.296,20.881,85132,158203
Banglore Rural,1991,999.029,24.745,47.264,21.061,92126,216648
Banglore Rural,1992,833.158,24.572,47.264,20.764,87069,190062
Banglore Rural,1993,907.47,24.657,47.264,20.869,88881,233125
Banglore Rural,1994,607.299,24.594,47.264,20.866,94379,279101
Banglore Rural,1995,953.881,24.912,47.264,21.194,124799,516395
Banglore Rural,1996,1074.976,24.839,49.347,21.012,134979,509823
Banglore Rural,1997,1058.408,25.094,48.591,21.111,136979,410243
Banglore Rural,1998,1198.163,25.389,48.729,21.445,124980,465402
Banglore Rural,1999,912.056,24.758,47.139,20.799,144970,520978
Banglore Rural,2000,1001.418,24.722,48.221,20.957,114977,430142
Banglore Rural,2001,720.585,25.119,51.276,21.178,124000,472013
Banglore Rural,2002,733.003,25.228,47.62,21.241,140213,534214
Davangere,1991,938.757,24.754,43.33,20.757,2004,1154
Davangere,1992,945.808,24.691,43.33,20.457,2303,2053
Davangere,1993,859.153,24.667,43.33,20.5,2376,1275
Davangere,1994,761.036,24.499,43.33,20.462,2611,2382
Davangere,1995,872.581,25.051,43.33,20.81,3452,2037
Davangere,1996,946.427,24.892,42.633,20.749,2560,3864
Davangere,1997,932.481,25.033,41.599,20.649,2854,2230
Davangere,1998,1067.351,25.306,42.091,21.118,2645,2068
Davangere,1999,840.96,24.716,41.803,20.463,2103,2506
Davangere,2000,930.422,24.7,41.656,20.541,2930,3261
Davangere,2001,666.366,25.044,44.095,20.788,2645,1926
Davangere,2002,674.17,25.214,41.364,20.82,3026,3325
Belgaum,1991,1464.117,25.031,42.583,21.946,3075,2080
Belgaum,1992,1619.961,24.98,42.583,21.687,3197,2878
Belgaum,1993,1372.297,24.929,42.583,21.735,2907,1788
Belgaum,1994,1363.355,24.774,42.583,21.684,2911,2062
Belgaum,1995,1242.351,25.31,42.583,22.003,2797,1565
Belgaum,1996,1462.926,25.213,41.838,22.017,2200,1822
Belgaum,1997,1417.644,25.316,40.621,21.83,2461,1874
Belgaum,1998,1658.671,25.526,41.442,22.356,2350,1786
Belgaum,1999,1278.477,25.008,41.983,21.681,2863,1654
Belgaum,2000,1406.391,24.992,41.182,21.704,2156,1945
Belgaum,2001,960.033,25.29,43.18,21.951,2361,1926
Belgaum,2002,1060.343,25.509,40.929,22.042,2459,1865
Bellary,1991,2485.867,25.984,45.483,24.596,1962,2423
Bellary,1992,2872.205,25.871,45.483,24.373,2089,3800
Bellary,1993,2293.874,25.918,45.483,24.44,2138,3630
Bellary,1994,2583.243,25.829,45.483,24.4,1753,3534
Bellary,1995,2074.373,26.172,45.483,24.69,1769,3090
Bellary,1996,2610.518,26.134,45.863,24.677,1789,4679
Bellary,1997,2662.193,26.335,44.194,24.572,1745,3786
Bellary,1998,2931.677,26.487,45.384,24.898,1685,3651
Bellary,1999,2127.181,25.981,45.684,24.327,1742,3896
Bellary,2000,2244.44,25.898,45.29,24.391,1865,4025
Bellary,2001,1899.461,26.243,47.145,24.616,1798,3852
Bellary,2002,1923.742,26.459,44.842,24.717,1650,2958
Bidar,1991,1725.25,24.624,50.549,22.845,3456,3784
Bidar,1992,1731.615,24.345,50.549,22.56,3355,3760
Bidar,1993,1599.342,24.522,50.549,22668,3412,4322
Bidar,1994,1251.059,24.495,50.549,22.623,3369,4217
Bidar,1995,1553.854,24.76,50.549,22.944,3578,4655
Bidar,1996,1849.167,24.725,52.402,22.823,2971,3884
Bidar,1997,1771.634,24.981,51.3,22.924,3210,3658
Bidar,1998,2230.988,25.217,51.575,23.229,3168,3849
Bidar,1999,1520.125,24.624,50.038,22.604,3025,3765
Bidar,2000,1645.762,24.604,50.264,22.75,2995,3745
Bidar,2001,1329.86,24.939,54.269,22.887,3368,395
Bidar,2002,1334.754,25.089,50.77,23.079,3485,4120
Chamarajnagara,1991,768.883,27.579,36.332,17.88,4529,5240
Chamarajnagara,1992,712.943,27.446,36.332,17.76,4573,5966
Chamarajnagara,1993,736.991,27.361,36.332,17.723,4285,4573
Chamarajnagara,1994,873.362,27.087,36.332,17.698,4338,5717
Chamarajnagara,1995,1047.493,27436,36.25,17.86,4484,5117
Chamarajnagara,1996,996.17,27.697,36.798,18.054,4507,8781
Chamarajnagara,1997,787.609,27.431,36.701,17.778,4438,8081
Chamarajnagara,1998,956.216,28.068,36.469,18.387,4503,8254
Chamarajnagara,1999,686.066,27.2,36.184,17.612,4612,8930
Chamarajnagara,2000,843.808,27.287,35.036,17.717,4498,8652
Chamarajnagara,2001,731.11,27.625,38.258,17.89,4576,9213
Chamarajnagara,2002,622.438,27.643,35.241,17.953,4709,9043
Chikmagalur,1991,784.282,26.064,40.025,19.949,3339,2206
Chikmagalur,1992,812.097,25.943,40.025,19.668,3368,3573
Chikmagalur,1993,729.29,25.909,40.025,19.705,3406,2544
Chikmagalur,1994,743.364,25.786,40.025,19.685,3210,3123
Chikmagalur,1995,808.637,26.326,40.021,19.973,3708,2400
Chikmagalur,1996,810.289,26.144,39.75,19.976,3555,6353
Chikmagalur,1997,787.972,26.217,38.988,19.808,3654,4402
Chikmagalur,1998,838.459,26.533,39.144,20.394,3504,5021
Chikmagalur,1999,693.496,25.937,39.27,19.685,3609,6676
Chikmagalur,2000,787.626,25.916,38.794,19.746,3544,7654
Chikmagalur,2001,575.605,26.258,41.082,20.003,3209,5201
Chikmagalur,2002,574.325,26.407,38.466,20.008,3768,5903
Chitradurga,1991,996.754,24.771,48.394,21.37,18070,20353
Chitradurga,1992,819.437,24.561,48.394,21.085,18079,20847
Chitradurga,1993,933.128,24.987,48.394,21.193,18051,18124
Chitradurga,1994,602.847,24.642,48.394,21.191,17609,22822
Chitradurga,1995,941.275,24.901,48.394,21.488,18050,15432
Chitradurga,1996,1081.408,24.862,50.766,21.311,17802,21371
Chitradurga,1997,1091.201,25.139,80.049,21.435,18042,18076
Chitradurga,1998,1218.563,25.434,50.213,21.766,17650,19870
Chitradurga,1999,922.834,24.79,48.408,21.108,18123,17652
Chitradurga,2000,1000.767,24.759,49.684,21.265,17890,18562
Chitradurga,2001,731.834,25.148,52.792,21.484,18090,19087
Chitradurga,2002,748.194,25.263,49.134,21.56,18790,20981
Banglore,1991,1760.697,20.767,39.402,22.454,4365,5713
Banglore,1992,1991.86,20.812,39.398,22.37,4189,5613
Banglore,1993,1683.752,20.691,39.398,22.482,4242,5047
Banglore,1994,2292.875,20.562,39.398,22.366,4269,6587
Banglore,1995,1327.716,20.965,39.332,22.583,4276,5360
Banglore,1996,1602.53,21.112,39.907,22.684,4233,5790
Banglore,1997,2015.932,20.992,38.462,22.473,4238,5902
Banglore,1998,1737.503,21.207,39.782,22.924,4256,6219
Banglore,1999,1622.36,20.726,42.025,22.376,4235,6432
Banglore,2000,1628.754,20.746,39.529,22.284,4287,6032
Banglore,2001,1134.703,20.948,40.773,22.472,4261,6214
Banglore,2002,1334.194,21.254,39.728,22.5509,4398,6054
